Days,0,1,2,5,10,20
0,406,400,393,387,395,393
1,425,418,417,425,425,436
2,421,420,416,429,432,435
3,425,422,419,427,425,432
4,421,419,419,423,433,439
5,420,419,423,424,432,441
6,423,419,420,424,429,440
7,484,425,421,425,426,438
8,517,423,420,422,429,436
9,550,421,419,380,431,434
10,549,432,420,425,425,434
11,552,435,419,423,429,431
12,556,498,423,426,426,429
13,553,520,422,425,429,431
14,569,527,425,434,431,432
17,587,535,438,425,427,433
19,606,534,452,426,425,432
21,615,541,470,421,427,432
23,621,553,493,422,416,434
25,612,567,515,419,423,435
27,616,566,516,414,428,426
30,618,581,517,419,426,425
36,632,567,515,419,423,432
38,639,589,522,420,425,426
41,642,595,536,421,427,431
44,651,593,561,417,425,432
50,667,586,583,413,425,425
